,time,value
0,2010-01-04,0.9743480816906231
1,2010-01-05,0.9754429232734799
2,2010-01-06,0.983443369879376
3,2010-01-07,0.9681102970455302
4,2010-01-08,0.9681102970455302
5,2010-01-11,0.9940465901510273
6,2010-01-12,1.0409751109702983
7,2010-01-13,1.0505315122627337
8,2010-01-14,1.051017475732606
9,2010-01-15,1.0535662808376638
10,2010-01-18,1.012429352034887
11,2010-01-19,1.002300702955877
12,2010-01-20,1.0058156373744667
13,2010-01-21,1.053593601849084
14,2010-01-22,0.9907502976614599
15,2010-01-25,0.9507295118348126
16,2010-01-26,0.9168702370463785
17,2010-01-27,0.8939824792276854
18,2010-01-28,0.9075342874802014
19,2010-01-29,0.9140356221984315
20,2010-02-01,0.8745302974580803
21,2010-02-02,0.8715073760332057
22,2010-02-03,0.8952030727123276
23,2010-02-04,0.8977334283275591
24,2010-02-05,0.8676732657109005
25,2010-02-08,0.852957310591338
26,2010-02-09,0.8639788224477949
27,2010-02-10,0.8876444387758364
28,2010-02-11,0.8735526203186118
29,2010-02-12,0.8844504638213875
30,2010-02-22,0.8939188904019313
31,2010-02-23,0.8934367984984295
32,2010-02-24,0.9249257742456639
33,2010-02-25,0.9403306135720515
34,2010-02-26,0.9596360134026758
35,2010-03-01,0.9740920549129799
36,2010-03-02,0.9745733851537371
37,2010-03-03,0.9870113539588175
38,2010-03-04,0.9408147077410134
39,2010-03-05,0.9418960350255786
40,2010-03-08,0.980985444390438
41,2010-03-09,0.980985444390438
42,2010-03-10,0.9516018406114432
43,2010-03-11,1.0324690875528846
44,2010-03-12,0.9939496596176144
45,2010-03-15,1.0081949720252352
46,2010-03-16,1.0086730727915278
47,2010-03-17,1.021030631004181
48,2010-03-18,1.0175579380067208
49,2010-03-19,1.007587099847606
50,2010-03-22,1.0144965679015687
51,2010-03-23,0.9776149993268521
52,2010-03-24,0.9666837599297875
53,2010-03-25,0.9546646599295471
54,2010-03-26,0.9776754283002674
55,2010-03-29,0.9865899216610715
56,2010-03-30,0.9998727369409547
57,2010-03-31,0.9772942008081705
58,2010-04-01,0.9797974867065699
59,2010-04-02,0.9733309435221683
60,2010-04-06,0.9909541615265717
61,2010-04-07,0.9755603892693225
62,2010-04-08,0.9714950502284256
63,2010-04-09,0.9984418957357424
64,2010-04-12,0.9773476926922675
65,2010-04-13,1.0004449995695874
66,2010-04-14,1.0038962496451165
67,2010-04-15,0.9993558875273338
68,2010-04-16,0.9635545985094212
69,2010-04-19,0.8695234763567894
70,2010-04-20,0.8837484053288754
71,2010-04-21,0.8767283541560921
72,2010-04-22,0.8441324678347855
73,2010-04-23,0.8500330403565656
74,2010-04-26,0.8465918465494977
75,2010-04-27,0.8332237009155788
76,2010-04-28,0.8321573640038492
77,2010-04-29,0.8247836189486388
78,2010-04-30,0.8418915498732037
79,2010-05-04,0.83642855831132
80,2010-05-05,0.84864970436604
81,2010-05-06,0.8262224125347907
82,2010-05-07,0.742359649162038
83,2010-05-10,0.7468175744844666
84,2010-05-11,0.7174185972875441
85,2010-05-12,0.7280385703673761
86,2010-05-13,0.7372669405473901
87,2010-05-14,0.7219450141142115
88,2010-05-17,0.7219450141142115
89,2010-05-18,0.7106930799554241
90,2010-05-19,0.6958505665609065
91,2010-05-20,0.6684131171810944
92,2010-05-21,0.6659433905284537
93,2010-05-24,0.6983622050146079
94,2010-05-25,0.6935381861017437
95,2010-05-26,0.6821897709971614
96,2010-05-27,0.6904630765550632
97,2010-05-28,0.7043888543404409
98,2010-05-31,0.6931656498403835
99,2010-06-01,0.6617616970766537
100,2010-06-02,0.6617616970766537
101,2010-06-03,0.6617616970766537
102,2010-06-04,0.6617616970766537
103,2010-06-07,0.6617616970766537
104,2010-06-08,0.6617616970766537
105,2010-06-09,0.6617616970766537
106,2010-06-10,0.6617616970766537
107,2010-06-11,0.6617616970766537
108,2010-06-17,0.6617616970766537
109,2010-06-18,0.6617616970766537
110,2010-06-21,0.6617616970766537
111,2010-06-22,0.6617616970766537
112,2010-06-23,0.6617616970766537
113,2010-06-24,0.6617616970766537
114,2010-06-25,0.6617616970766537
115,2010-06-28,0.6617616970766537
116,2010-06-29,0.6617616970766537
117,2010-06-30,0.6617616970766537
118,2010-07-01,0.6291618026786137
119,2010-07-02,0.5994144131723171
120,2010-07-05,0.584543821268225
121,2010-07-06,0.5931850684740542
122,2010-07-07,0.5829447489963533
123,2010-07-08,0.5914011223576642
124,2010-07-09,0.6046665326493473
125,2010-07-12,0.6186394224387753
126,2010-07-13,0.6002497079639486
127,2010-07-14,0.6035031927772464
128,2010-07-15,0.5903281565132478
129,2010-07-16,0.5926603781649779
130,2010-07-19,0.5982490295798075
131,2010-07-20,0.6159062765477908
132,2010-07-21,0.612637699622543
133,2010-07-22,0.625178283696277
134,2010-07-23,0.6219105591795444
135,2010-07-26,0.6551914867289363
136,2010-07-27,0.6398471995091279
137,2010-07-28,0.6569584683917313
138,2010-07-29,0.6574947610487718
139,2010-07-30,0.6504150690078049
140,2010-08-02,0.6538428463708006
141,2010-08-03,0.6567200472572753
142,2010-08-04,0.6655126370752973
143,2010-08-05,0.6717859105186283
144,2010-08-06,0.6717859105186283
145,2010-08-09,0.7149565202763372
146,2010-08-10,0.6851687611724792
147,2010-08-11,0.6980014072761186
148,2010-08-12,0.7022996847698273
149,2010-08-13,0.7367193632334141
150,2010-08-16,0.7440438498552149
151,2010-08-17,0.7456611015296893
152,2010-08-18,0.7662218080214911
153,2010-08-19,0.7853843244619585
154,2010-08-20,0.7673996985649773
155,2010-08-23,0.7481337048836839
